google.com,,,,,
facebook.com,,,,,
yahoo.com,,,,,
google.co.in,,,,,
twitter.com,,,,,
amazon.com,Amazon CloudFront,55,Akamai,10,
google.co.uk,,,,,
microsoft.com,Akamai,140,,,
amazon.co.jp,Amazon CloudFront,4,,,
apple.com,Akamai,110,,,
google.com.au,,,,,
adobe.com,Akamai,110,,,
bbc.co.uk,Akamai,4,,,
amazon.co.uk,Amazon CloudFront,4,,,
nytimes.com,Fastly,111,,,
ebay.co.uk,Akamai,120,,,
bet365.com,,,,,
theguardian.com,Fastly,118,,,
chase.com,,,,,
dailymail.co.uk,Akamai,84,,,
flipkart.com,Akamai,6,,,
nih.gov,,,,,
nlm.nih.gov,,,,,
alibaba.com,Alibaba,59,Akamai,17,
walmart.com,Akamai,104,Limelight,4,
