yelp.com,Fastly,54,,,
finance.yahoo.com,,,,,
gizmodo.com,,,,,
theverge.com,Fastly,50,,,
gsmarena.com,MaxCDN,10,,,
engadget.com,,,,,
irs.gov,Akamai,50,,,
money.cnn.com,Akamai,3,,,
cnbc.com,Akamai,56,,,
instructables.com,Fastly,60,,,
tomshardware.com,Akamai,55,,,
allrecipes.com,Akamai,12,,,
tomsguide.com,Akamai,54,,,
marketwatch.com,Akamai,57,,,
digitaltrends.com,,,,,
dpreview.com,Amazon CloudFront,31,,,
food.com,Akamai,56,,,
babycenter.com,Akamai,61,,,
fool.com,Fastly,56,,,
kbb.com,Akamai,56,,,
bgr.com,,,,,
msn.com,Akamai,4,,,
hgtv.com,Akamai,53,,,
mint.com,Akamai,55,,,
thekitchn.com,Fastly,51,,,
