booking.com,,,,,
9gag.com,,,,,
tripadvisor.com,Akamai,51,,,
expedia.com,Akamai,57,,,
hotels.com,Akamai,55,,,
xe.com,Akamai,50,,,
kayak.com,Fastly,50,,,
southwest.com,Akamai,50,,,
agoda.com,Akamai,53,,,
uber.com,,,,,
zomato.com,Akamai,51,,,
delta.com,Akamai,5,,,
united.com,Akamai,55,,,
ryanair.com,,,,,
aa.com,Akamai,50,,,
cracked.com,Akamai,57,,,
priceline.com,,,,,
jalopnik.com,,,,,
marriott.com,Akamai,55,,,
timeout.com,Fastly,65,,,
hilton.com,Akamai,51,,,
lonelyplanet.com,Fastly,53,,,
flightradar24.com,Cloudflare,55,,,
easyjet.com,Akamai,50,,,
ana.co.jp,Akamai,50,,,
