nih.gov,,,,,
webmd.com,Incapsula,150,Akamai,12,
myfitnesspal.com,MaxCDN,5,Amazon CloudFront,4,
mayoclinic.org,Akamai,100,,,
drugs.com,Akamai,50,,,
medscape.com,Incapsula,153,Akamai,21,
cdc.gov,Akamai,110,,,
psychologytoday.com,MaxCDN,5,,,
who.int,Highwinds,100,,,
mayoclinic.org,Akamai,100,,,
medlineplus.gov,,,,,
medicinenet.com,Incapsula,15,,,
nhs.uk,Akamai,100,,,
emedicine.medscape.com,Incapsula,103,,,
menshealth.com,Cloudflare,55,,,
kaiserpermanente.org,Akamai,100,,,
mercola.com,Akamai,112,,,
apa.org,,,,,
authoritynutrition.com,MaxCDN,5,,,
studentdoctor.net,Cloudflare,55,WordPress,6,
mensfitness.com,,,,,
fda.gov,Akamai,100,,,
bmj.com,Cloudflare,110,,,
healthgrades.com,Amazon CloudFront,59,,,
health.com,Amazon CloudFront,15,,,
