amazon.com,Amazon CloudFront,50,,,
netflix.com,Akamai,11,,,
ebay.com,Akamai,114,,,
amazon.co.uk,Amazon CloudFront,4,,,
etsy.com,Fastly,116,,,
walmart.com,Akamai,94,Limelight,4,
store.steampowered.com,Akamai,44,,,
ikea.com,Akamai,110,,,
bestbuy.com,Akamai,114,,,
homedepot.com,Akamai,110,,,
target.com,Akamai,30,,,
wiley.com,,,,,
nike.com,Akamai,140,,,
cambridge.org,Cloudflare,80,,,
groupon.com,Akamai,114,,,
hm.com,Akamai,110,,,
humblebundle.com,Akamai,12,,,
newegg.com,Akamai,15,,,
nordstrom.com,Akamai,5,,,
bodybuilding.com,Akamai,114,,,
macys.com,Akamai,126,,,
lowes.com,Akamai,25,,,
ticketmaster.com,Akamai,5,,,
bhphotovideo.com,Akamai,112,,,
costco.com,,,,,
