stackoverflow.com,Fastly,51,,,
answers.yahoo.com,,,,,
nlm.nih.gov,,,,,
thesaurus.com,Akamai,112,,,
wordreference.com,,,,,
archive.org,,,,,
blackboard.com,Limelight,100,,,
goodreads.com,Amazon CloudFront,6,,,
urbandictionary.com,Fastly,101,,,
mit.edu,Akamai,10,,,
udemy.com,Fastly,110,,,
wiktionary.org,,,,,
thefreedictionary.com,,,,,
cambridge.org,Cloudflare,110,,,
investopedia.com,Akamai,10,,,
dictionary.cambridge.org,,,,,
stanford.edu,,,,,
merriam-webster.com,,,,,
coursera.org,Amazon CloudFront,52,,,
harvard.edu,Cloudflare,110,,,
dict.cc,,,,,
psu.edu,,,,,
ecollege.com,,,,,
berkeley.edu,,,,,
spanishdict.com,Amazon CloudFront,6,,,
