twitch.tv,Akamai,10,,,
battle.net,Akamai,26,,,
roblox.com,Level 3,55,,,
store.steampowered.com,Akamai,78,,,
ign.com,Instart Logic,100,Fastly,18,
gamefaqs.com,,,,,
leagueoflegends.com,,,,,
playstation.com,Akamai,112,,,
wowhead.com,Instart Logic,100,,,
unity3d.com,,,,,
gamespot.com,Akamai,10,,,
runescape.wikia.com,Fastly,62,,,
icy-veins.com,Akamai,14,,,
xbox.com,Akamai,102,Limelight,5,
ea.com,Akamai,120,,,
chess.com,Instart Logic,114,,,
pcgamer.com,Level 3,4,,,
kongregate.com,Instart Logic,108,,,
teamliquid.net,,,,,
ign.com,Instart Logic,100,Fastly,18,
nvidia.com,,,,,
miniclip.com,Amazon CloudFront,53,,,
minecraft.net,Amazon CloudFront,60,,,
rockstargames.com,Akamai,120,,,
curse.com,Cloudflare,5,,,
