google.com,,,,,
youtube.com,,,,,
facebook.com,,,,,
mail.google.com,,,,,
yahoo.com,,,,,
docs.google.com,,,,,
en.wikipedia.org,,,,,
twitter.com,,,,,
search.yahoo.com,,,,,
linkedin.com,,,,,
mail.yahoo.com,,,,,
imgur.com,Fastly,15,,,
bing.com,,,,,
wordpress.com,,,,,
msn.com,Akamai,10,,,
tumblr.com,,,,,
microsoft.com,Akamai,67,,,
stackoverflow.com,,,,,
office.com,Akamai,28,,,
pinterest.com,Fastly,15,,,
github.com,Fastly,8,,,
wikia.com,Fastly,5,,,
apple.com,Akamai,55,,,
paypal.com,Akamai,51,,,
adobe.com,Akamai,55,,,
