espn.com,Akamai,10,,,
cricbuzz.com,Cloudflare,92,,,
espncricinfo.com,Akamai,61,,,
nba.com,Akamai,104,,,
livescore.com,,,,,
goal.com,Akamai,10,,,
sports.yahoo.com,,,,,
bleacherreport.com,,,,,
nhl.com,Akamai,61,Amazon CloudFront,4,
iplt20.com,Amazon CloudFront,100,,,
nfl.com,Akamai,117,Fastly,10,
espn.com,Akamai,10,,,
bbc.com,Fastly,50,,,
cbssports.com,Akamai,106,,,
premierleague.com,Amazon CloudFront,104,,,
strava.com,,,,,
flashscore.com,,,,,
skysports.com,Level 3,118,,,
espn.com,Akamai,10,,,
deadspin.com,Fastly,5,,,
bbc.com,Fastly,50,,,
nbcsports.com,Akamai,10,,,
baseball.fantasysports.yahoo.com,,,,,
sbnation.com,Fastly,107,,,
soccerway.com,Akamai,102,,,
